Time,Demand,Day,Month,Year,Winter,Spring,Summer,Fall,sma,ema
2014-04-30 15:00:00,1,30,4,2014,0,1,0,0,0.6,0.6
2014-04-30 18:00:00,1,30,4,2014,0,1,0,0,1.4,2.066666666666667
2014-04-30 21:00:00,1,30,4,2014,0,1,0,0,1.8,1.4
2014-05-01 00:00:00,0,1,5,2014,0,1,0,0,2.4,2.7111111111111112
2014-05-01 03:00:00,0,1,5,2014,0,1,0,0,3.2,2.2666666666666666
2014-05-01 06:00:00,5,1,5,2014,0,1,0,0,4.2,3.474074074074074
2014-05-01 09:00:00,3,1,5,2014,0,1,0,0,3.4,1.8444444444444446
2014-05-01 12:00:00,4,1,5,2014,0,1,0,0,3.0,2.6493827160493826
2014-05-01 15:00:00,4,1,5,2014,0,1,0,0,2.2,1.2296296296296299
2014-05-01 18:00:00,5,1,5,2014,0,1,0,0,1.8,2.4329218106995882
2014-05-01 21:00:00,1,1,5,2014,0,1,0,0,2.4,3.48641975308642
2014-05-02 00:00:00,1,2,5,2014,0,1,0,0,4.4,5.2886145404663925
2014-05-02 03:00:00,0,2,5,2014,0,1,0,0,5.4,4.324279835390946
2014-05-02 06:00:00,2,2,5,2014,0,1,0,0,6.6,5.525743026977595
2014-05-02 09:00:00,8,2,5,2014,0,1,0,0,7.0,4.216186556927298
2014-05-02 12:00:00,11,2,5,2014,0,1,0,0,5.4,3.68382868465173
2014-05-02 15:00:00,6,2,5,2014,0,1,0,0,3.2,2.8107910379515317
2014-05-02 18:00:00,6,2,5,2014,0,1,0,0,3.6,5.122552456434486
2014-05-02 21:00:00,4,2,5,2014,0,1,0,0,4.0,4.540527358634354
2014-05-03 00:00:00,0,3,5,2014,0,1,0,0,6.0,8.081701637622992
2014-05-03 03:00:00,0,3,5,2014,0,1,0,0,8.2,6.6936849057562355
2014-05-03 06:00:00,8,3,5,2014,0,1,0,0,9.4,7.387801091748661
2014-05-03 09:00:00,8,3,5,2014,0,1,0,0,9.6,7.462456603837491
2014-05-03 12:00:00,14,3,5,2014,0,1,0,0,8.0,4.925200727832441
2014-05-03 15:00:00,11,3,5,2014,0,1,0,0,5.2,4.974971069224994
2014-05-03 18:00:00,6,3,5,2014,0,1,0,0,6.6,9.283467151888294
2014-05-03 21:00:00,9,3,5,2014,0,1,0,0,8.2,7.983314046149996
2014-05-04 00:00:00,0,4,5,2014,0,1,0,0,10.4,12.85564476792553
2014-05-04 03:00:00,0,4,5,2014,0,1,0,0,14.2,11.65554269743333
2014-05-04 06:00:00,18,4,5,2014,0,1,0,0,16.0,11.570429845283686
2014-05-04 09:00:00,14,4,5,2014,0,1,0,0,12.6,8.10369513162222
2014-05-04 12:00:00,20,4,5,2014,0,1,0,0,9.8,7.713619896855791
2014-05-04 15:00:00,19,4,5,2014,0,1,0,0,6.0,5.735796754414814
2014-05-04 18:00:00,9,4,5,2014,0,1,0,0,6.0,11.47574659790386
2014-05-04 21:00:00,1,4,5,2014,0,1,0,0,5.4,5.823864502943209
2014-05-05 00:00:00,0,5,5,2014,0,1,0,0,8.6,13.317164398602573
2014-05-05 03:00:00,1,5,5,2014,0,1,0,0,10.0,6.2159096686288065
2014-05-05 06:00:00,19,5,5,2014,0,1,0,0,11.8,12.211442932401715
2014-05-05 09:00:00,6,5,5,2014,0,1,0,0,9.0,5.810606445752538
